Year,Month,Day,Day Number,Dunstaffnage,Barcaldine,Inverawe,Weisdale,Lerwick
 1970.0,    3.0,    3.0,   62.0,    7.3,    8.1,    7.8,    2.2,    5.8
 1970.0,    3.0,    4.0,   63.0,    5.1,    6.0,    4.9,    3.7,    6.1
 1970.0,    3.0,    5.0,   64.0,    6.6,    7.3,    7.3,    8.4,    6.4
 1970.0,    3.0,    6.0,   65.0,    5.6,    6.8,    9.0,    3.1,    5.8
 1970.0,    3.0,    7.0,   66.0,    7.2,    7.8,    7.4,    1.9,    2.1
 1970.0,    3.0,    8.0,   67.0,    5.1,    5.5,    5.1,    0.7,    5.8
 1970.0,    3.0,    9.0,   68.0,    4.1,    5.6,    6.2,    2.3,    1.2
 1970.0,    3.0,   10.0,   69.0,    5.9,    7.4,    6.1,    0.9,    2.9
 1970.0,    3.0,   11.0,   70.0,    4.9,    7.7,    6.3,    2.0,    5.4
 1970.0,    3.0,   12.0,   71.0,    4.6,    7.0,    6.4,    3.8,    3.4
 1970.0,    3.0,   13.0,   72.0,    4.4,    4.0,    4.4,    2.9,    4.2
 1970.0,    3.0,   14.0,   73.0,    7.7,    5.5,    5.2,    1.6,    3.5
 1970.0,    3.0,   15.0,   74.0,    4.7,    4.1,    4.0,    3.3,    2.9
 1970.0,    3.0,   16.0,   75.0,    6.3,    7.9,    7.5,    4.6,    5.5
 1970.0,    3.0,   17.0,   76.0,    5.1,    6.6,    6.8,    7.2,    4.6
 1970.0,    3.0,   18.0,   77.0,    4.7,    5.1,    6.5,    1.4,    2.7
 1970.0,    3.0,   19.0,   78.0,    7.1,    5.6,    4.8,    0.8,    2.0
 1970.0,    3.0,   20.0,   79.0,    4.0,    5.1,    4.0,    0.2,    1.3
 1970.0,    3.0,   21.0,   80.0,    5.4,    6.6,    5.7,    0.1,    2.4
 1970.0,    3.0,   22.0,   81.0,    6.2,    3.9,    4.5,    0.9,    1.7
 1970.0,    3.0,   23.0,   82.0,    6.4,    4.4,    3.9,    2.0,    1.6
 1970.0,    3.0,   24.0,   83.0,    4.0,    5.4,    4.6,    0.1,    2.7
 1970.0,    3.0,   25.0,   84.0,    5.8,    6.8,    7.2,    0.8,    3.0
 1970.0,    3.0,   26.0,   85.0,    4.9,    4.8,    5.0,    6.8,    2.6
 1970.0,    3.0,   27.0,   86.0,    4.6,    3.5,    3.6,    0.8,    2.7
 1970.0,    3.0,   28.0,   87.0,    4.4,    4.0,    4.3,    3.5,    2.2
 1970.0,    3.0,   29.0,   88.0,    3.4,    5.2,    4.1,    2.3,    3.1
 1970.0,    3.0,   30.0,   89.0,    6.0,    6.8,    5.4,    0.3,    2.7
 1970.0,    3.0,   31.0,   90.0,    5.1,    5.7,    5.8,    0.0,    2.2
